node_id,name,school,major,military_unit,degree,betweenness_rank,community,unit731
n610,大黒 勇,Jikei Medical University,bacteriology,Unknown,26,267,0,0
n624,大島 良雄,Tokyo Imperial University,"Internal medicine, Hot spring medicine",affiliated hospital,111,25,4,0
n628,大鈴 弘文,Tokyo Imperial University,Internal medicine,"Tokyo National Hospital, Tokyo Police Hospital",86,113,4,0
n634,太田 邦夫,Tokyo Imperial University,pathology,Unknown,25,322,7,0
n642,太田 元次,Nagoya Medical University,"Medical school education, surgery",Unknown,51,96,1,0
n658,大谷 藤郎,Kyoto Imperial University,Welfare administration,Unknown,11,356,10,0
n665,大塚 任,Tokyo Imperial University,ophthalmology,Tokyo Police Hospital,23,104,6,0
n676,大鶴 正満,Taipei Imperial University,parasitology,Unknown,7,374,12,1
n694,大橋 成一,Tokyo Imperial University,"Pathology, Laboratory Medicine","National Tokyo Daiichi Hospital, Social Insurance Central General Hospital",31,14,7,0
n696,大橋 六郎,Kyoto Imperial University,Welfare administration,Unknown,11,357,10,0
n702,大原 達,Hokkaido Imperial University,bacteriology,Unknown,26,268,0,0
n708,大藤 真,Okayama Medical University,"Internal medicine, Immunology",affiliated hospital,112,4,4,0
n723,大和田 国夫,Keio University,hygiene,Unknown,17,338,6,0
n727,岡 捨巳,Tohoku Imperial University,Internal medicine,Anti-Ken University Hospital,85,164,4,0
n736,岡崎 英彦,Kyoto Imperial University,"Pediatrics, Medical care for children with disabilities",Unknown,18,259,8,0
n782,岡野 丈雄,Kyushu Imperial University,hygiene,Unknown,17,339,6,0
n783,岡林 篤,Tokyo Imperial University,"pathology, allergy",Unknown,26,92,7,0
n793,岡本 耕造,Kyoto Imperial University,pathology,Unknown,25,323,7,1
n794,岡本 彰祐,Keio University,physiology,Unknown,9,375,11,0
n808,小川 睦之輔,Kyoto Imperial University,anatomy,Unknown,15,376,5,0
n813,小川 義雄,Jikei Medical University,"Physiology, Physical education",Unknown,9,377,11,0
n820,荻野 恒一,Kyoto Imperial University,"Psychiatry, Psychopathology, Pathology",Unknown,44,38,7,0
n826,奥田 観士,Okayama Medical University,ophthalmology,National Okayama Hospital,21,309,6,0
n828,奥田 邦雄,Manchuria Medical University,"Internal medicine (gastroenterology, hepatology)",National Chiba Hospital,85,165,4,0
n832,奥野 良臣,Osaka Imperial University,"Virology, vaccine development",Unknown,4,378,0,0
n836,奥村 二吉,Kyushu Imperial University,psychiatry,affiliated hospital,49,21,7,0
n850,長村 重之,Tokyo Imperial University,Internal medicine,"National Kumamoto Hospital, National Sanatorium Tokyo Hospital",85,166,4,0
n862,小田 完五,Kyoto Prefectural University of Medicine,urology,Unknown,11,150,8,0
n874,小野 庸,Kyushu Higher Medical College,Radiology,Unknown,8,379,8,0
n890,織畑 秀夫,Tokyo Imperial University,surgery,Unknown,49,228,1,0
n892,恩地 裕,Osaka Imperial University,"Orthopedics, Anesthesiology",affiliated hospital,53,23,8,0
n905,柿崎 勉,Tokyo Imperial University,urology,"Mitsui Kosei Hospital, Kofu City Hospital",13,103,8,0
n906,柿下 正道,Kanazawa Medical University,Internal medicine,Unknown,85,167,4,0
n914,加倉井 駿一,Keio University,Welfare administration,Unknown,11,358,10,0
n921,影山 圭三,Keio University,pathology,Unknown,25,324,7,0
n935,加地 正隆,Kyushu Imperial University,Internal medicine,Unknown,85,168,4,0
n948,柏木 大治,Kyushu Imperial University,orthopedic surgery,Unknown,21,213,8,0
n967,勝 正孝,Keio University,Internal medicine,"St. Luke's International Hospital, Kawasaki City Kawasaki Hospital",88,85,4,0
n972,勝木 保次,Tokyo Imperial University,physiology,Unknown,9,380,11,0
n980,桂 重次,Niigata Medical University,Internal medicine,Unknown,85,169,4,0
n988,加藤 金吉,Keio University,ophthalmology,Kawasaki City Kawasaki Hospital,22,119,6,0
n1002,加藤 虎之助,Kyoto Imperial University,"Surgery, Social Activist",Unknown,49,229,1,0
n1004,加藤 普佐次郎,Chiba Medical University,psychiatry,"Tokyo Prefectural Matsuzawa Hospital, Toyama Brain Hospital, Nakano Union Hospital",19,303,7,0
n1022,金子 仁郎,Osaka Imperial University,psychiatry,"Affiliated Hospital, Kansai Rosai Hospital",33,67,7,0
n1032,金田 弘,Kyoto Prefectural University of Medicine,Radiology,"Kyoto Daiichi Red Cross Hospital, Affiliated Hospital, Maizuru National Hospital",23,98,8,0
n1039,金光 克己,Okayama Medical University,Welfare administration,Unknown,11,359,10,0
n1040,金光 正次,Hokkaido Imperial University,hygiene,Izumibashi Charity Hospital,17,340,6,0
n1046,鎌倉 正雄,Tokyo Imperial University,Forensic medicine,Unknown,4,381,14,0
n1062,蒲生 逸夫,Osaka Imperial University,Pediatrics,Unknown,18,205,8,0
n1077,川上 漸,Kyoto Imperial University,pathology,"Manchurian Unit 731, Kumamoto Prefectural Hospital",29,69,7,1
n1108,川畑愛義,Taipei Imperial University,bacteriology,Unknown,26,269,0,0
n1138,菊地真一郎,Nippon Medical University,surgery,Ginza Kikuchi Hospital,49,230,1,0
n1168,北野政次,Tokyo Imperial University,bacteriology,"Manchuria 731st Unit, 13th Army",26,270,0,1
n1201,木下福磨,Osaka Higher Medical School,Otorhinolaryngology,Unknown,14,131,3,0
n1207,木原卓三郎,Kyoto Imperial University,anatomy,Unknown,15,382,5,0
n1211,木村栄一,Tokyo Imperial University,Internal medicine,Unknown,85,170,4,0
n1213,木村男也,Tokyo Imperial University,"pathology, neuropathology",National Hirosaki Hospital,25,325,7,0
n1243,金原 節三,Unknown,Pediatrics,National Shizuoka Hospital,18,206,8,0
n1256,楠 隆光,Tokyo Imperial University,urology,Unknown,11,151,8,0
n1258,楠 信男,Tokyo Imperial University,Internal medicine,"Morioka Hospital, Affiliated Hospital",95,61,4,0
n1269,工藤 達之,Keio University,surgery,Unknown,49,231,1,0
n1277,国友 昇,Tokyo Imperial University,ophthalmology,Affiliated Itabashi Hospital,22,123,6,0
n1316,倉繁 隆信,Tokyo Imperial University,Internal medicine,Unknown,85,171,4,0
n1320,栗秋 要,Keijo Imperial University,pharmacology,Unknown,5,383,15,1
n1339,黒川 正身,Keio University,bacteriology,National Kamegawa Hospital,26,271,0,0
n1343,黒沢 良臣,Tokyo Imperial University,psychiatry,"Tokyo Prefectural Matsuzawa Hospital, National Kokufudai Hospital",19,304,7,0
n1355,桑島 治三郎,Tohoku Imperial University,ophthalmology,"Sakata City Hospital, Sendai City Konan Hospital",21,310,6,0
n1357,桑島 謙夫,Manchuria Medical University,bacteriology,Unknown,26,272,0,0
n1372,小池正晃,Kyoto Imperial University,dermatology,"1st Division, Tokyo Daiichi Guard Hospital",15,125,8,0
n1377,小泉親彦,Tokyo Imperial University,hygiene,"Army Medical College, Guards Division",31,17,6,0
n1393,向野利夫,Kyushu Medical College,"ophthalmology, haiku poet",Yawata Steel Works Hospital,21,311,6,0
n1395,河野 稔,Jikei Medical University,orthopedic surgery,Unknown,21,214,8,0
n1415,小坂淳夫,Okayama Medical University,Internal medicine,Ii Medical Research Institute Hospital,85,172,4,0
n1417,小酒井望,Tokyo Imperial University,clinical laboratory medicine,"Tokyo Daiichi National Hospital, Affiliated Hospital, Juntendo University Urayasu Hospital",17,49,7,0
n1432,小谷 勉,Osaka Imperial University,orthopedic surgery,Osaka City University Hospital,21,215,8,0
n1437,児玉俊夫,Tokyo Imperial University,orthopedic surgery,Unknown,21,216,8,0
n1443,後藤七郎,Kyoto Imperial University,surgery,affiliated hospital,76,33,1,0
n1450,後藤光治,Kyoto Imperial University,Otorhinolaryngology,"Affiliated Hospital, Kitano Hospital, Otsu Red Cross Hospital",29,1,3,0
n1462,小林 隆,Tokyo Imperial University,Obstetrics and gynecology,Unknown,14,295,8,0
n1466,小林龍男,Chiba Medical University,pharmacology,Unknown,5,384,15,0
n1468,小林提樹,Keio University,"Pediatrics, Medical care for children with disabilities",Unknown,18,260,8,0
n1481,五味二郎,Keio University,Internal medicine,Municipal Otaru Hospital,85,173,4,0
n1489,古守豊甫,Tokyo Medical College,Internal medicine,"National Kofu Hospital, Komori Hospital",85,174,4,0
n1498,小山善之,Tokyo Imperial University,Internal medicine,"National Tokyo Second Hospital, National Hospital, Japan Hospital",88,82,4,0
n1518,犀川一夫,Jikei Medical University,leprosy medical,Unknown,4,385,16,0
n1532,斎藤茂太,Showa Medical College,"Psychiatry, Essayist","Saito Hospital, Japan Psychiatric Hospital",19,284,7,0
n1650,佐藤 猛夫,Tokyo Imperial University,Internal medicine,"Doaikai Memorial Hospital, Eighth Route Army Field General Hospital",85,175,4,0
n1674,里見 三男,Tokyo Imperial University,microbiology,Unknown,2,386,0,0
n1702,三内 多喜治,Unknown,oral surgery,Unknown,1,387,17,0
n1707,塩沢 正俊,Tohoku Imperial University,surgery,National Sagamihara Hospital,49,232,1,0
n1759,渋沢 喜守雄,Tokyo Imperial University,"surgery, poet","National Mito Hospital, National Oji Hospital",49,233,1,0
n2000,高木憲次,Tokyo Imperial University,orthopedic surgery,Unknown,21,217,8,0
n2056,高橋敏雄,Tokyo Imperial University,Welfare administration,Unknown,11,360,10,0
n2063,高橋実,Kyoto Imperial University,ophthalmology,Unknown,21,312,6,0
n2065,高橋義夫,Tokyo Imperial University,bacteriology,Unknown,26,273,0,0
n2073,高松誠,Kyushu Medical College,hygiene,Unknown,17,341,6,0
n2085,高山坦三,Hokkaido Imperial University,surgery,Noboribetsu Welfare Pension Hospital,49,234,1,0
n2088,田川貞嗣,Hokkaido Imperial University,ophthalmology,Aomori Prefectural Hospital,21,313,6,0
n2109,竹沢徳敬,Kyoto Prefectural University of Medicine,Otorhinolaryngology,"Mukden Red Cross Hospital, Horikawa Hospital, Kenkoukai South Hospital",14,132,3,0
n2112,武重順夫,Kyushu Imperial University,anatomy,Unknown,15,388,5,0
n2141,田崎一二,Keio University,"physiology, neurophysiology",Unknown,9,389,11,0
n2147,田尻 敢,Chiba Medical University,leprosy medical,Zensei Hospital,4,390,16,0
n2162,辰沼広吉,Keio University,mountaineering medicine,Unknown,1,391,1,0
n2165,立野誠吾,Hokkaido Imperial University,Internal medicine,affiliated hospital,111,26,4,0
n2167,田所一郎,Tokyo Imperial University,bacteriology,Unknown,26,274,0,0
n2186,田辺 恒義,Hokkaido Imperial University,pharmacology,Unknown,5,392,15,0
n2192,谷奥 喜平,Tokyo Imperial University,dermatology,Unknown,14,145,8,0
n2193,谷川 久治,Chiba Medical University,hygiene,Unknown,17,342,6,0
n2214,田宮 知耻夫,Tokyo Imperial University,"Internal medicine, Radiology",Unknown,93,56,4,0
n2223,田村 雅太,Kyushu Imperial University,Internal medicine,Unknown,85,176,4,0
n2231,千谷 七郎,Tokyo Imperial University,psychiatry,affiliated hospital,49,22,7,0
n2250,辻 一郎,Tokyo Imperial University,urology,affiliated hospital,42,39,8,0
n2252,辻 周介,Kyoto Imperial University,Internal medicine,Matsue Red Cross Hospital,85,177,4,0
n2255,辻 泰邦,Kyoto Imperial University,parasitology,Sasebo City Hospital,7,393,12,0
n2274,堤 辰郎,Nagasaki Medical University,Obstetrics and gynecology,affiliated hospital,43,50,8,0
n2275,堤 直温,Tokyo Imperial University,orthopedic surgery,"National Tokyo Daiichi Hospital, Tokyo Metropolitan Toshima Hospital",25,97,8,0
n2278,常岡 健二,Tokyo Imperial University,Internal medicine,"Kyoto Yoiyoin Affiliated Hospital, Tokyo Teishin Hospital",86,117,4,0
n2300,寺師 義信,Kyoto Imperial University,aviation medicine,"Army Medical College, 1st Division",17,86,0,0
n2310,照屋 寛善,Kyushu Medical College,"Internal medicine, public health",Unknown,88,65,4,0
n2311,伝田 俊男,Keio University,pediatric surgery,National Tokyo Second Hospital,3,394,8,0
n2312,土居 健郎,Tokyo Imperial University,psychiatry,St. Luke's International Hospital,21,99,7,0
n2318,藤後 惣兵衛,Kyoto Imperial University,"internal medicine, haiku poet",Unknown,85,178,4,0
n2326,當山 堅一,Taipei Medical College,Internal medicine,Unknown,85,179,4,0
n2327,當山 堅次,Taipei Medical College,surgery,"Taipei Renji Hospital, Nago District Hospital",49,235,1,0
n2336,徳田 源市,Kyoto Prefectural University of Medicine,Obstetrics and gynecology,Unknown,14,296,8,0
n2357,富田 忠良,Keio University,orthopedic surgery,"National Shiobara Onsen Hospital, National Tokyo Second Hospital",24,109,8,0
n2358,冨田 恒男,Keio University,physiology,Unknown,9,395,11,0
n2365,外山 敏夫,Keio University,hygiene,Unknown,17,343,6,0
n2366,豊川 行平,Tokyo Imperial University,hygiene,Unknown,17,344,6,0
n2370,豊田 文一,Kanazawa Medical University,Otorhinolaryngology,"Mikuni Hospital, Industrial Association Hospital, Agricultural Cooperative Takaoka Hospital",14,133,3,0
n2373,鳥飼 龍生,Tokyo Imperial University,Internal medicine,"Japan Red Cross Wakayama Branch Hospital, Tohoku Kosai Hospital",85,180,4,0
n2386,内藤 行雄,Nagasaki Medical University,orthopedic surgery,"Wakayama Red Cross Hospital, Nagasaki Atomic Bomb Hospital",21,218,8,0
n2388,内藤 良一,Kyoto Imperial University,hematology,"Manchurian Unit 731, Army Medical College",18,91,0,1
n2389,名尾 良憲,Chiba Medical University,Internal medicine,Tokyo Metropolitan Toshima Hospital,86,111,4,0
n2392,永井 清保,Osaka Imperial University,Internal medicine,Unknown,85,181,4,0
n2395,永井 隆,Nagasaki Medical University,"Radiology, Atomic Bomb Medicine",Unknown,8,396,8,0
n2406,中尾 喜久,Tokyo Imperial University,Internal medicine,Unknown,85,182,4,0
n2408,中尾 健,Jikei Medical University,pharmacology,Unknown,5,397,15,0
n2413,中尾 良一,Iwate Medical College,Internal medicine,Yamanashi Prefectural Hospital,85,183,4,0
n2420,中川 秀三,Hokkaido Imperial University,psychiatry,Unknown,19,285,7,0
n2425,中黒 秀外之,Hokkaido Imperial University,bacteriology,"Manchurian Unit 731, Southern Army Epidemic Prevention and Water Supply Department, Japan Self-Defense Force Sapporo District Hospital",31,42,0,1
n2440,長瀬 又男,Keio University,"Pediatrics, Medical care for children with disabilities",Unknown,18,261,8,0
n2443,永田 正夫,Nihon University College of Medicine,urology,Affiliated Itabashi Hospital,12,124,8,0
n2448,永富 勲,Kyushu Imperial University,surgery,Saga Kishima Coal Mine Hospital,49,236,1,0
n2452,中野 嘉一,Keio University,"psychiatry, poet","Musashino Hospital, Iwaya Hospital, Miyagawa Hospital",19,286,7,0
n2457,長野 準,Kyushu Imperial University,Internal medicine,"National Sanatorium Yagatahara Hospital, National Sanatorium Minami-Fukuoka Hospital",85,184,4,0
n2460,中野 操,Kyoto Prefectural University of Medicine,"Medical history, dermatology",Japan Red Cross Osaka Branch Hospital,20,84,8,0
n2462,中野 由巳,Taipei Medical College,anatomy,Unknown,15,398,5,0
n2464,長花 操,Keijo Imperial University,parasitology,Unknown,7,399,12,1
n2472,中原 龍之助,Tokyo Imperial University,Welfare administration,Unknown,11,361,10,0
n2480,中村 兼次,Tokyo Imperial University,Pediatrics,Kanto Teishin Hospital,18,207,8,0
n2493,中村 平蔵,Niigata Medical University,oral surgery,Wa University School of Dentistry Hospital,1,400,17,0
n2495,中村 昌弘,Kyushu Medical College,bacteriology,Unknown,26,275,0,0
n2502,中山 健太郎,Tokyo Imperial University,Pediatrics,"Mitsui Kosei Hospital, Self-Defense Forces Central Hospital, Omori Hospital",20,122,8,0
n2503,中山 恒明,Chiba Medical University,surgery,Unknown,49,237,1,0
n2521,梛野 厳,Tokyo Imperial University,Internal medicine,"Army Medical College, Xinjingweishu Hospital, Beijing Military Hospital",98,10,4,0
n2527,名越 好古,Jikei Medical University,Otorhinolaryngology,Unknown,14,134,3,0
n2529,那須 毅,Okayama Medical University,pathology,Unknown,25,326,7,0
n2541,縄田 千郎,Kyushu Imperial University,Radiology,Unknown,8,401,8,0
n2544,新島 迪夫,Chiba Medical University,anatomy,Unknown,15,402,5,0
n2547,新津 泰孝,Tohoku Imperial University,Pediatrics,Unknown,18,208,8,0
n2548,新見 嘉兵衛,"Tokyo Higher Dental School, Niigata Medical University",anatomy,Unknown,15,403,5,0
n2551,二階堂 昇,Tohoku Imperial University,Internal medicine,Unknown,85,185,4,0
n2552,仁木 イワノ,Japan Red Cross Kagawa Branch Hospital Relief Nurse Training School,nurse,"National Tokushima Hospital, Tokushima University Hospital",1,404,18,0
n2561,西尾 篤人,Tokyo Imperial University,orthopedic surgery,"Affiliated Hospital, Kyushu Rosai Hospital",35,80,8,0
n2568,西川 光夫,Tokyo Imperial University,Internal medicine,"Affiliated Hospital, Sumitomo Hospital",95,62,4,0
n2580,西野 陸夫,Hokkaido Imperial University,"Welfare administration, public health science",Unknown,14,142,10,0
n2583,西部 ベン,Japan Red Cross Kagawa Branch Hospital Relief Nurse Training School,nurse,"Tokushima Municipal Hospital, Tokushima University Hospital",1,405,18,0
n2589,西村 敏雄,Kyoto Imperial University,Obstetrics and gynecology,National Sabae Hospital,14,297,8,0
n2590,西村 秀雄,Kyoto Imperial University,"anatomy, embryology",Unknown,16,143,5,0
n2597,西山 保一,Keio University,pathology,Unknown,25,327,7,0
n2610,根井 外喜男,Hokkaido Imperial University,bacteriology,Unknown,26,276,0,0
n2614,野口 秋人,Tohoku Imperial University,"surgery, mountaineer",Noguchi Hospital,49,256,1,0
n2620,野口 義圀,Tokyo Imperial University,"Dermatology, Allergology, Immunology",affiliated hospital,46,16,8,0
n2622,野坂 保次,Kumamoto Medical University,Otorhinolaryngology,Unknown,14,135,3,0
n2623,野崎 秀英,Niigata Medical University,Radiology,affiliated hospital,39,66,8,0
n2629,野田 金次郎,Tokyo Imperial University,Forensic medicine,Unknown,4,406,14,0
n2631,野嶽 幸雄,Kyushu Imperial University,Obstetrics and gynecology,Unknown,14,298,8,0
n2650,萩野 昇,Kanazawa Medical University,Internal medicine,Hagino Hospital,85,186,4,0
n2657,萩原 義雄,Kyoto Imperial University,surgery,Unknown,49,238,1,0
n2663,橋爪 一男,Hokkaido Imperial University,surgery,"Sakura National Hospital, National Sanatorium Toshin Hospital",49,239,1,0
n2667,橋本 勇,Kyoto Imperial University,surgery,Unknown,49,240,1,0
n2669,橋本 清,Okayama Medical University,Obstetrics and gynecology,affiliated hospital,43,51,8,0
n2689,長谷川 敏雄,Tokyo Imperial University,Obstetrics and gynecology,Japan Red Cross Central Hospital,14,299,8,0
n2704,羽田野 茂,Tokyo Imperial University,surgery,Mitsui Memorial Hospital,49,241,1,0
n2705,簇野 倫,Keio University,dermatology,"National Saitama Hospital, National Tokyo Second Hospital",17,107,8,0
n2715,服部 絢一,Kyushu Imperial University,Internal medicine,affiliated hospital,111,27,4,0
n2717,服部敏良,Nagoya Medical University,"Internal medicine, Medical history",Yamashita Hospital,88,88,4,0
n2721,花岡堅而,Niigata Medical University,Obstetrics and gynecology,Yoshida Hospital,14,300,8,0
n2729,馬場省二,Tokyo Imperial University,leprosy medical,Unknown,4,407,16,0
n2731,馬場為義,Osaka Medical University,pathology,Unknown,25,328,7,0
n2733,浜口栄祐,Tokyo Imperial University,surgery,National Tokyo Daiichi Hospital,53,45,1,0
n2736,浜田 到,Okayama Medical University,"internal medicine, poet",Saiseikai Hospital,85,187,4,0
n2748,早石 虎雄,Unknown,psychiatry,Hayaishi Hospital,19,287,7,0
n2751,早川 清,Tokyo Imperial University,hygiene,"Manchurian Unit 731, Southern Army Epidemic Prevention and Water Supply Department, Army Medical College",34,3,6,1
n2754,林 一郎,Kyoto Imperial University,pathology,Manchurian Unit 731,29,70,7,1
n2765,林 道倫,Niigata Medical University,Obstetrics and gynecology,Dorin Psychiatric and Neurological Hospital,14,301,8,0
n2783,原 隼人,Tokyo Imperial University,Internal medicine,"Tsuru Naval Base Military Medical Director and Hospital, Steelworks Medical Director and Hospital, Maizuru Naval Base",85,188,4,0
n2786,原田 彰,Tokyo Imperial University,urology,Unknown,11,152,8,0
n2787,原田 永之助,Tokyo Imperial University,ophthalmology,Unknown,21,314,6,0
n2792,原田 東岷,Okayama Medical University,orthopedic surgery,Harada Orthopedic Hospital,21,219,8,0
n2794,原田 豊,Kumamoto Medical University,Pediatrics,Unknown,18,209,8,0
n2797,原田 宣祐,University East Campus,Internal medicine,Unknown,85,189,4,0
n2803,半田 順俊,Kanazawa Medical University,"Anatomy, Human Genetics",Unknown,15,408,5,0
n2806,日置 紘士郎,Tokyo Imperial University,orthopedic surgery,Unknown,21,220,8,0
n2809,日影董,Tokyo Imperial University,surgery,This medical group Osaka branch hospital,49,242,1,0
n2816,樋口 謙太郎,Kyushu Imperial University,dermatology,affiliated hospital,44,54,8,0
n2826,日野 志郎,Tokyo Imperial University,Internal medicine,"Tokyo Teishin Hospital, Yokohama Teishin Hospital",86,118,4,0
n2829,日比野 進,Aichi Medical University,Internal medicine,National Nagoya Hospital,85,190,4,0
n2830,兵頭 周吉,Tokyo Imperial University,surgery,"1st Army, Mukden Military Hospital, Nanjing Military Hospital",49,243,1,0
n2834,平井 孝,Nagasaki Medical University,surgery,National Omura Hospital,49,244,1,0
n2842,平出順吉郎,Tokyo Imperial University,biochemistry,Unknown,3,409,13,0
n2843,平賀 稔,Tokyo Imperial University,"Dermatology, Urology","Army Medical College, St. Luke's International Hospital",39,13,8,0
n2846,平木 潔,Okayama Medical University,Internal medicine,affiliated hospital,111,28,4,0
n2863,広明 竹雄,Tokyo Higher Dental School,"bacteriology, clinical laboratory","Army Medical College, Tokyo National Daiichi Hospital",42,2,0,0
n2891,福島 孝吉,Tokyo Imperial University,Internal medicine,"Mitsui Kosei Hospital, Affiliated Hospital",97,40,4,0
n2899,福田 精,Kyoto Imperial University,Otorhinolaryngology,Unknown,14,136,3,0
n2913,浮池 正基,Kyushu Medical College,"Internal medicine, pediatrics, politician",Minamata Hospital,101,71,4,0
